machine_id,day,runtime_minutes,utilization_percent,health_score,temperature_c,vibration_mm_s,power_consumption_kw,failure_event
M016,99,435,60.42,93.3,56.3,2.59,23.69,0
M017,99,518,71.94,90.56,64.9,1.42,17.0,0
M018,99,586,81.39,93.15,68.7,1.3,4.35,0
M001,100,477,66.25,85.61,66.5,2.71,20.28,0
M002,100,504,70.0,93.6,53.8,1.91,14.7,0
M003,100,518,71.94,86.62,52.3,1.06,4.36,0
M004,100,635,88.19,94.79,61.1,1.77,12.25,0
M005,100,486,67.5,85.48,51.8,1.73,11.1,0
M006,100,603,83.75,91.44,55.5,1.48,4.38,0
M007,100,477,66.25,91.24,50.3,2.4,12.83,0
M008,100,435,60.42,92.38,53.2,1.3,7.29,0
M009,100,593,82.36,92.72,51.7,2.79,5.64,0
M010,100,550,76.39,92.88,56.8,2.84,5.55,1
M011,100,568,78.89,93.23,70.2,1.96,18.1,0
M012,100,637,88.47,85.36,60.3,0.94,5.66,0
M013,100,496,68.89,93.14,67.7,1.76,33.67,0
M014,100,647,89.86,91.35,60.1,1.75,7.25,0
M015,100,586,81.39,92.95,50.4,1.39,5.1,0
M016,100,628,87.22,90.34,53.9,1.0,26.3,0
M017,100,429,59.58,85.77,53.6,2.1,16.85,0
M018,100,427,59.31,92.84,63.3,1.91,5.44,0
M001,101,512,71.11,91.14,56.5,1.74,14.26,0
M002,101,663,92.08,92.74,56.7,1.64,13.26,1
M003,101,632,87.78,93.96,66.7,2.84,4.54,0
M004,101,656,91.11,89.57,51.5,2.05,11.54,0
M005,101,528,73.33,89.11,59.0,2.03,9.48,0
M006,101,443,61.53,84.89,51.7,2.12,4.91,0
M007,101,592,82.22,87.56,67.6,2.06,17.45,0
M008,101,574,79.72,91.64,63.1,2.35,10.76,0
M009,101,580,80.56,91.07,65.2,2.53,4.05,0
M010,101,693,96.25,92.33,60.5,2.49,6.65,1
M011,101,490,68.06,89.26,61.1,1.54,15.72,0
M012,101,486,67.5,93.08,68.3,1.29,3.68,0
M013,101,562,78.06,84.19,53.5,1.33,25.67,0
M014,101,625,86.81,87.35,70.4,2.38,5.48,0
M015,101,654,90.83,88.77,65.8,2.09,5.14,0
M016,101,684,95.0,93.03,52.4,2.55,25.58,0
M017,101,569,79.03,89.16,50.1,2.18,20.03,0
M018,101,594,82.5,87.34,63.0,1.07,5.34,0
M001,102,503,69.86,92.71,61.9,2.04,16.37,0
M002,102,697,96.81,87.45,53.4,2.4,20.88,0
M003,102,629,87.36,86.6,52.0,1.9,5.34,0
M004,102,661,91.81,83.33,59.2,2.32,13.87,0
M005,102,690,95.83,90.19,65.2,1.91,13.93,0
M006,102,438,60.83,88.43,69.9,1.96,4.09,0
M007,102,499,69.31,90.84,57.1,1.76,16.79,0
M008,102,597,82.92,84.82,64.5,1.82,9.05,0
M009,102,622,86.39,88.8,58.6,2.28,4.83,0
M010,102,715,99.31,86.73,53.7,2.13,5.22,0
M011,102,511,70.97,86.81,65.1,1.33,23.33,0
M012,102,507,70.42,95.0,62.0,1.65,3.67,0
M013,102,552,76.67,94.16,56.7,1.62,33.06,0
M014,102,624,86.67,92.72,54.0,1.49,6.41,0
M015,102,451,62.64,92.48,64.5,2.19,4.86,0
M016,102,489,67.92,90.41,58.7,2.35,22.2,0
M017,102,686,95.28,87.84,54.0,2.51,14.63,0
M018,102,526,73.06,86.1,65.1,1.49,5.46,1
M001,103,719,99.86,86.96,52.6,1.79,15.26,0
M002,103,520,72.22,91.11,52.0,2.14,16.27,0
M003,103,462,64.17,84.96,48.9,2.52,4.52,0
M004,103,610,84.72,91.7,59.7,1.63,10.9,0
M005,103,617,85.69,86.14,63.7,1.57,10.93,0
M006,103,696,96.67,92.88,48.0,2.09,3.91,0
M007,103,521,72.36,89.51,54.6,2.05,17.08,0
M008,103,704,97.78,85.37,61.6,1.31,11.04,0
M009,103,685,95.14,92.94,51.6,1.23,4.67,0
M010,103,635,88.19,93.64,61.6,2.4,4.83,0
M011,103,688,95.56,87.92,52.3,1.34,18.65,1
M012,103,572,79.44,92.91,59.3,1.78,4.89,0
M013,103,420,58.33,87.15,54.8,1.85,28.55,0
M014,103,625,86.81,86.11,67.2,1.65,6.49,0
M015,103,567,78.75,83.94,53.9,1.86,5.24,0
M016,103,521,72.36,86.36,53.5,1.59,18.16,0
M017,103,659,91.53,94.8,67.6,1.84,16.21,0
M018,103,524,72.78,90.86,54.5,1.58,4.16,0
M001,104,453,62.92,89.07,47.1,2.36,17.43,0
M002,104,431,59.86,93.24,57.1,2.18,16.64,0
M003,104,712,98.89,91.95,58.2,1.77,3.79,0
M004,104,449,62.36,92.27,50.4,1.04,16.57,0
M005,104,607,84.31,90.83,57.4,1.13,10.43,0
M006,104,714,99.17,94.04,66.8,1.71,4.53,0
M007,104,449,62.36,91.22,59.2,2.41,16.61,0
M008,104,596,82.78,95.52,67.9,1.49,9.06,0
M009,104,696,96.67,87.91,56.5,1.78,4.45,0
M010,104,529,73.47,89.91,53.7,1.97,6.4,0
M011,104,619,85.97,86.06,66.5,2.32,22.66,0
M012,104,690,95.83,89.06,50.2,2.4,3.67,0
M013,104,651,90.42,84.64,55.6,1.16,29.34,1
M014,104,573,79.58,91.98,54.0,1.72,7.36,0
M015,104,461,64.03,89.77,67.3,1.26,4.81,0
M016,104,580,80.56,94.61,65.3,1.77,23.91,0
M017,104,441,61.25,93.35,52.5,1.7,19.71,0
M018,104,625,86.81,82.95,50.6,1.81,3.95,0
M001,105,666,92.5,86.03,48.0,1.59,15.47,0
M002,105,658,91.39,84.87,58.6,2.52,19.42,0
M003,105,710,98.61,93.78,61.1,2.56,4.35,0
M004,105,468,65.0,90.54,60.6,2.24,11.31,0
M005,105,672,93.33,86.52,68.3,1.1,10.07,0
M006,105,705,97.92,92.38,51.3,2.7,5.07,0
M007,105,462,64.17,85.35,63.1,1.27,14.47,0
M008,105,441,61.25,88.63,64.4,2.13,10.67,0
M009,105,457,63.47,94.36,57.6,1.75,4.14,1
M010,105,624,86.67,84.48,68.4,2.76,6.87,0
M011,105,537,74.58,92.35,67.4,2.24,19.29,0
M012,105,476,66.11,85.51,48.7,2.09,5.13,0
M013,105,537,74.58,93.2,49.2,1.88,32.17,0
M014,105,673,93.47,88.93,54.7,1.47,7.08,0
M015,105,640,88.89,89.43,66.9,2.5,5.45,0
M016,105,475,65.97,90.58,55.3,2.26,18.94,0
M017,105,445,61.81,92.23,66.0,0.97,20.45,0
M018,105,426,59.17,85.9,67.4,2.55,5.05,0
M001,106,472,65.56,85.7,56.6,1.81,15.36,0
M002,106,435,60.42,94.66,57.6,2.38,17.06,0
M003,106,487,67.64,91.7,61.0,1.64,4.94,0
M004,106,598,83.06,91.82,53.4,1.64,14.99,0
M005,106,568,78.89,90.92,65.5,2.51,13.45,0
M006,106,693,96.25,87.43,60.2,1.49,3.69,0
M007,106,566,78.61,89.3,69.6,1.85,14.63,0
M008,106,718,99.72,95.18,53.0,2.42,11.22,1
M009,106,619,85.97,87.25,63.3,1.92,4.7,0
M010,106,624,86.67,93.24,57.9,2.27,5.15,0
M011,106,500,69.44,92.31,54.0,2.23,22.19,0
M012,106,487,67.64,85.45,51.0,1.19,3.92,0
M013,106,619,85.97,94.82,64.7,1.87,29.47,0
M014,106,512,71.11,83.53,48.4,1.46,6.85,0
M015,106,521,72.36,93.46,64.9,1.23,4.89,0
M016,106,537,74.58,88.33,60.7,1.56,18.89,0
M017,106,716,99.44,87.76,63.7,2.39,18.58,0
M018,106,563,78.19,92.35,58.0,2.15,5.5,0
M001,107,658,91.39,93.6,64.2,2.05,14.34,0
M002,107,638,88.61,95.37,69.6,1.34,20.14,0
M003,107,677,94.03,86.8,58.4,1.39,3.94,0
M004,107,657,91.25,89.2,61.9,2.54,13.78,0
M005,107,597,82.92,93.72,59.6,2.16,10.03,0
M006,107,672,93.33,94.19,50.6,1.81,4.29,1
M007,107,658,91.39,93.93,58.0,2.31,13.76,0
M008,107,703,97.64,93.1,68.4,2.34,9.19,0
M009,107,613,85.14,91.58,56.0,2.27,5.34,0
M010,107,486,67.5,84.6,66.5,1.62,5.89,0
M011,107,517,71.81,84.05,51.6,2.14,19.21,0
M012,107,462,64.17,85.12,52.9,1.61,3.77,0
M013,107,602,83.61,84.45,55.8,2.33,27.8,0
M014,107,455,63.19,90.05,61.9,2.08,5.44,0
M015,107,561,77.92,91.01,58.9,1.4,3.65,0
M016,107,525,72.92,93.3,60.1,1.69,23.7,0
M017,107,702,97.5,91.34,53.0,2.25,17.14,1
M018,107,486,67.5,84.91,53.0,1.49,5.53,0
M001,108,671,93.19,93.49,51.6,1.55,14.63,0
M002,108,584,81.11,88.39,58.9,2.13,20.75,0
M003,108,688,95.56,86.63,63.4,1.84,3.61,1
M004,108,626,86.94,86.82,50.1,2.49,13.63,0
M005,108,491,68.19,83.89,69.8,2.16,12.39,0
M006,108,717,99.58,94.0,66.5,2.36,4.77,0
M007,108,645,89.58,86.17,50.5,2.39,14.1,0
M008,108,720,100.0,95.08,66.5,1.62,11.26,1
M009,108,559,77.64,88.1,60.9,1.15,5.7,0
M010,108,561,77.92,88.44,64.6,1.65,7.04,0
M011,108,498,69.17,95.62,54.0,1.18,15.77,0
M012,108,429,59.58,86.49,56.3,2.72,3.8,0
M013,108,593,82.36,88.72,66.2,2.46,32.02,0
M014,108,457,63.47,90.71,54.9,2.55,5.34,0
M015,108,592,82.22,91.34,58.8,1.73,4.79,0
M016,108,706,98.06,89.57,54.6,2.03,24.14,0
M017,108,704,97.78,83.95,57.6,1.84,14.2,0
M018,108,426,59.17,91.37,47.5,1.69,3.77,0
M001,109,591,82.08,85.53,55.4,1.44,17.05,0
M002,109,458,63.61,86.39,65.8,0.91,13.95,0
M003,109,548,76.11,92.17,69.5,1.47,4.8,0
M004,109,666,92.5,85.71,67.2,1.23,15.0,0
M005,109,512,71.11,94.27,51.1,1.47,9.95,0
M006,109,508,70.56,84.42,70.7,1.8,5.51,0
M007,109,660,91.67,83.72,63.3,2.03,13.1,0
M008,109,659,91.53,85.27,53.3,1.8,10.04,0
M009,109,513,71.25,90.6,56.7,1.53,4.67,0
M010,109,701,97.36,90.01,62.4,2.53,7.44,0
M011,109,665,92.36,92.16,54.3,2.25,16.7,0
M012,109,560,77.78,86.82,60.6,1.26,4.98,0
M013,109,599,83.19,89.25,60.2,2.49,29.42,0
M014,109,718,99.72,89.09,67.4,2.16,5.47,0
M015,109,549,76.25,92.79,48.8,1.98,4.53,0
M016,109,422,58.61,90.78,58.9,2.4,24.74,0
M017,109,433,60.14,85.33,69.3,1.74,16.91,1
M018,109,537,74.58,90.75,59.0,2.24,4.88,0
M001,110,614,85.28,86.24,62.9,1.56,14.9,0
M002,110,560,77.78,86.55,66.3,2.27,19.66,0
M003,110,443,61.53,91.23,66.2,1.8,4.82,0
M004,110,569,79.03,94.07,70.2,1.97,16.48,0
M005,110,439,60.97,85.24,54.5,2.82,12.25,0
M006,110,591,82.08,89.3,56.4,2.39,3.71,0
M007,110,511,70.97,90.92,63.2,1.92,12.8,0
M008,110,685,95.14,85.29,51.6,1.98,8.19,0
M009,110,638,88.61,85.64,61.0,2.43,5.59,0
M010,110,527,73.19,94.91,64.9,2.25,5.31,0
M011,110,659,91.53,84.45,61.9,1.85,15.75,0
M012,110,697,96.81,92.64,66.2,1.24,3.8,0
M013,110,476,66.11,85.21,63.2,1.64,37.44,0
M014,110,526,73.06,94.69,51.4,1.8,6.21,0
M015,110,670,93.06,89.21,65.3,2.27,5.46,0
M016,110,556,77.22,85.91,60.6,1.66,22.63,0
M017,110,682,94.72,93.33,64.3,1.55,16.53,0
M018,110,565,78.47,93.15,50.0,1.47,3.72,1
M001,111,480,66.67,93.08,61.8,2.2,20.79,0
M002,111,462,64.17,87.56,68.0,1.76,20.85,0
M003,111,702,97.5,89.66,51.9,1.83,3.99,0
M004,111,656,91.11,91.1,55.6,1.38,14.74,1
M005,111,605,84.03,84.27,61.8,2.4,12.27,0
M006,111,532,73.89,83.61,58.7,2.75,4.34,0
M007,111,545,75.69,83.71,56.1,2.26,12.42,0
M008,111,657,91.25,87.26,60.9,1.64,7.59,0
M009,111,587,81.53,84.55,60.8,1.62,5.19,0
M010,111,616,85.56,95.37,68.1,2.36,4.89,0
M011,111,448,62.22,94.31,53.5,2.11,18.88,0
M012,111,648,90.0,93.16,55.6,2.13,4.94,0
M013,111,689,95.69,93.33,52.9,1.11,34.71,0
M014,111,643,89.31,92.71,50.3,2.29,7.24,0
M015,111,659,91.53,90.28,52.8,2.43,4.84,0
M016,111,682,94.72,85.39,54.7,2.46,25.79,0
M017,111,472,65.56,91.76,58.2,2.56,18.89,0
M018,111,586,81.39,91.81,56.2,1.25,4.1,0
M001,112,647,89.86,94.29,57.2,2.43,19.16,0
M002,112,590,81.94,90.85,50.0,1.49,16.58,0
M003,112,648,90.0,92.32,58.5,1.92,4.38,0
M004,112,480,66.67,85.04,62.5,1.29,13.84,0
M005,112,439,60.97,85.5,58.9,1.51,11.87,0
M006,112,633,87.92,89.65,56.0,2.5,5.02,0
M007,112,635,88.19,91.0,55.7,1.35,18.51,0
M008,112,640,88.89,88.16,49.8,2.25,10.46,0
M009,112,495,68.75,91.56,54.1,1.21,3.84,0
M010,112,561,77.92,83.34,58.3,1.82,5.74,0
M011,112,568,78.89,87.14,69.2,1.92,23.38,0
M012,112,705,97.92,93.62,67.6,1.71,5.64,0
M013,112,632,87.78,89.08,51.8,2.23,34.41,0
M014,112,677,94.03,87.49,53.1,1.36,6.71,0
M015,112,501,69.58,83.93,56.4,1.69,3.7,0
M016,112,544,75.56,92.66,70.3,1.83,28.32,0
M017,112,432,60.0,96.2,50.9,1.93,14.03,0
M018,112,508,70.56,84.53,53.9,1.37,4.1,0
M001,113,712,98.89,88.43,64.5,1.57,17.38,0
M002,113,685,95.14,84.96,61.6,2.61,15.38,0
M003,113,686,95.28,83.81,56.2,2.27,5.45,0
M004,113,424,58.89,90.39,54.3,2.0,13.54,0
M005,113,496,68.89,92.0,58.8,1.3,13.02,0
M006,113,673,93.47,90.5,62.3,1.63,5.03,0
M007,113,647,89.86,93.47,56.7,1.86,12.62,0
M008,113,551,76.53,87.48,61.9,2.66,10.6,0
M009,113,643,89.31,87.53,68.7,1.36,5.26,0
M010,113,425,59.03,91.35,67.7,2.2,5.97,0
M011,113,685,95.14,82.89,66.4,2.18,21.92,0
M012,113,489,67.92,86.37,52.2,1.7,4.62,0
M013,113,558,77.5,84.67,59.7,2.03,33.9,0
M014,113,587,81.53,90.07,55.1,2.73,7.04,0
M015,113,650,90.28,90.39,58.2,2.36,4.66,0
M016,113,421,58.47,84.81,68.2,1.49,23.03,0
M017,113,550,76.39,94.89,50.1,2.87,16.37,0
M018,113,642,89.17,86.15,48.6,2.13,5.66,0
M001,114,646,89.72,85.57,52.0,2.2,17.62,0
M002,114,690,95.83,85.79,54.6,1.16,14.92,0
M003,114,700,97.22,86.98,69.2,2.45,5.09,0
M004,114,663,92.08,93.85,59.5,2.41,15.31,0
M005,114,485,67.36,85.73,70.4,0.92,12.23,0
M006,114,671,93.19,84.61,54.3,1.13,5.36,0
M007,114,571,79.31,89.01,53.9,1.81,12.13,0
M008,114,639,88.75,86.13,70.5,1.52,7.39,0
M009,114,423,58.75,90.61,49.2,2.64,3.76,0
M010,114,498,69.17,91.7,57.5,1.42,7.42,0
M011,114,476,66.11,86.93,52.7,2.35,16.1,0
M012,114,464,64.44,85.88,51.1,1.97,3.78,0
M013,114,602,83.61,89.16,54.9,2.13,29.89,0
M014,114,447,62.08,91.4,53.3,2.66,5.12,1
M015,114,602,83.61,92.27,57.8,2.81,4.82,0
M016,114,458,63.61,90.36,66.0,1.37,25.23,0
M017,114,512,71.11,94.82,54.9,2.4,14.98,0
M018,114,609,84.58,87.44,52.8,1.93,4.29,0
M001,115,646,89.72,91.17,51.9,2.59,14.56,0
M002,115,631,87.64,90.76,64.4,2.25,14.3,0
M003,115,455,63.19,92.43,57.6,1.48,4.26,0
M004,115,533,74.03,86.09,67.3,1.58,12.3,0
M005,115,608,84.44,92.45,61.0,1.91,10.48,0
M006,115,554,76.94,84.53,51.0,1.39,5.34,0
M007,115,645,89.58,83.06,62.0,1.86,16.76,0
M008,115,528,73.33,93.23,60.1,2.01,9.46,0
M009,115,475,65.97,88.19,53.6,1.67,4.1,0
M010,115,708,98.33,85.22,55.5,1.03,7.11,1
M011,115,613,85.14,90.08,57.5,1.69,22.78,0
M012,115,675,93.75,83.51,49.3,2.54,5.11,0
M013,115,601,83.47,90.89,65.9,1.5,33.3,0
M014,115,615,85.42,94.97,49.7,1.38,6.61,0
M015,115,513,71.25,88.23,67.0,2.33,5.34,0
M016,115,453,62.92,85.16,54.2,2.11,27.3,0
M017,115,643,89.31,92.48,62.4,1.18,13.72,0
M018,115,445,61.81,91.31,50.1,1.88,5.55,0
M001,116,688,95.56,87.4,51.9,2.64,16.77,0
M002,116,679,94.31,83.22,63.7,1.28,17.82,0
M003,116,642,89.17,83.9,60.6,1.4,5.28,0
M004,116,505,70.14,85.75,68.0,2.63,12.31,0
M005,116,711,98.75,93.2,65.5,2.52,10.85,1
M006,116,602,83.61,84.84,60.5,1.83,4.0,0
M007,116,702,97.5,86.46,60.9,2.1,15.49,0
M008,116,611,84.86,92.61,56.2,2.24,8.11,0
M009,116,617,85.69,89.85,49.7,2.07,3.77,0
M010,116,614,85.28,93.65,63.4,1.81,5.05,0
M011,116,719,99.86,90.98,60.5,1.26,19.86,0
M012,116,440,61.11,87.49,63.6,1.64,4.09,0
M013,116,589,81.81,84.79,55.1,1.39,30.87,0
M014,116,483,67.08,84.58,59.9,2.06,5.83,0
M015,116,712,98.89,93.11,57.9,1.24,4.51,0
M016,116,424,58.89,92.02,65.5,1.79,25.96,0
M017,116,581,80.69,87.2,65.2,2.33,16.73,0
M018,116,484,67.22,92.01,56.5,1.94,3.76,0
M001,117,673,93.47,86.01,53.1,1.78,17.17,0
M002,117,516,71.67,86.92,67.5,1.87,17.91,0
M003,117,715,99.31,84.48,70.5,2.7,4.73,0
M004,117,624,86.67,90.69,66.4,2.39,11.47,0
M005,117,454,63.06,85.05,59.5,2.11,10.83,0
M006,117,496,68.89,83.01,51.0,1.42,4.94,0
M007,117,478,66.39,87.19,54.0,2.53,18.67,0
M008,117,577,80.14,90.78,61.1,1.07,7.99,0
M009,117,622,86.39,85.67,68.2,2.56,3.94,0
M010,117,591,82.08,94.34,50.8,2.28,5.45,0
M011,117,619,85.97,89.61,55.0,1.27,22.53,0
M012,117,546,75.83,91.88,69.3,2.08,5.54,0
M013,117,552,76.67,90.44,63.9,2.12,31.99,0
M014,117,459,63.75,83.78,51.1,2.06,5.53,0
M015,117,463,64.31,93.58,50.6,1.34,3.74,0
M016,117,592,82.22,87.68,66.2,1.53,20.01,0
M017,117,642,89.17,86.94,69.5,1.28,20.29,0
M018,117,640,88.89,89.72,62.5,1.98,5.13,0
M001,118,709,98.47,84.79,50.7,2.15,17.7,0
M002,118,472,65.56,91.95,58.3,2.15,15.39,0
M003,118,530,73.61,90.65,59.2,2.15,3.85,0
M004,118,631,87.64,88.93,61.4,1.18,12.7,0
M005,118,446,61.94,90.26,61.7,1.54,14.04,0
M006,118,606,84.17,90.17,54.7,1.97,3.86,0
M007,118,654,90.83,93.9,60.2,1.82,16.86,0
M008,118,580,80.56,86.94,65.0,1.52,7.46,0
M009,118,490,68.06,86.41,55.3,2.44,4.21,0
M010,118,426,59.17,92.84,52.6,2.44,5.9,0
M011,118,544,75.56,95.79,70.7,2.51,22.71,0
M012,118,694,96.39,86.97,51.5,2.37,4.9,0
M013,118,694,96.39,88.1,66.5,2.66,37.6,0
M014,118,675,93.75,90.25,51.8,1.42,6.73,1
M015,118,531,73.75,89.68,64.9,1.47,5.18,0
M016,118,672,93.33,95.48,50.9,2.59,22.54,0
M017,118,453,62.92,87.07,51.7,2.7,20.89,0
M018,118,539,74.86,90.57,51.7,1.55,5.27,0
M001,119,517,71.81,92.84,64.7,2.71,18.21,0
M002,119,664,92.22,92.24,66.1,1.08,20.24,0
M003,119,538,74.72,83.86,67.1,1.58,5.03,0
M004,119,461,64.03,91.3,47.8,1.67,13.76,0
M005,119,421,58.47,89.38,63.8,2.31,10.48,0
M006,119,624,86.67,86.21,66.5,1.73,3.75,0
M007,119,425,59.03,90.75,66.2,1.84,17.18,0
M008,119,507,70.42,85.73,67.5,1.44,10.17,0
M009,119,454,63.06,88.88,58.8,1.95,5.08,0
M010,119,433,60.14,90.01,70.6,1.86,6.0,0
M011,119,602,83.61,93.43,54.4,2.62,19.35,0
M012,119,492,68.33,85.92,67.9,1.99,4.58,0
M013,119,440,61.11,95.54,55.5,2.72,25.57,0
M014,119,645,89.58,82.99,65.3,2.08,5.79,0
M015,119,646,89.72,90.22,63.4,1.45,3.94,0
M016,119,717,99.58,87.08,49.7,2.18,26.83,0
M017,119,473,65.69,91.37,56.0,1.72,18.84,0
M018,119,717,99.58,92.53,65.7,1.1,5.28,0
M001,120,633,87.92,84.89,65.7,2.39,17.06,0
M002,120,549,76.25,85.29,66.4,1.34,18.08,0
M003,120,648,90.0,89.93,61.2,1.2,5.41,0
M004,120,527,73.19,88.88,61.4,1.76,15.36,0
M005,120,486,67.5,84.9,51.8,1.02,9.01,0
M006,120,569,79.03,86.1,64.7,1.61,3.88,0
M007,120,495,68.75,92.4,59.9,1.92,16.85,0
M008,120,463,64.31,87.61,66.9,1.38,9.55,0
M009,120,674,93.61,89.66,58.6,2.41,4.38,1
M010,120,676,93.89,88.06,60.4,1.23,6.41,0
M011,120,502,69.72,83.83,50.4,1.41,17.99,0
M012,120,681,94.58,93.93,62.7,2.26,4.73,0
M013,120,435,60.42,87.01,61.4,2.38,32.77,0
M014,120,598,83.06,91.83,65.4,2.06,7.56,0
M015,120,542,75.28,89.81,66.5,1.6,5.21,0
M016,120,649,90.14,84.04,53.0,1.93,22.42,0
M017,120,491,68.19,93.2,56.3,2.3,18.26,0
M018,120,597,82.92,86.76,61.6,2.45,5.57,0
M001,121,650,90.28,90.04,59.7,2.39,17.08,0
M002,121,720,100.0,94.89,70.7,2.43,19.07,1
M003,121,439,60.97,89.8,51.4,2.51,4.25,0
M004,121,454,63.06,93.09,59.3,1.39,14.19,0
M005,121,563,78.19,82.86,60.0,2.95,9.43,0
M006,121,559,77.64,85.26,68.4,2.2,5.06,0
M007,121,632,87.78,90.06,60.3,1.01,13.62,0
M008,121,657,91.25,91.13,64.4,1.99,7.77,0
M009,121,636,88.33,91.59,67.9,2.11,5.3,0
M010,121,529,73.47,92.15,70.8,2.18,6.04,0
M011,121,676,93.89,93.34,52.5,1.88,17.47,0
M012,121,473,65.69,92.86,63.6,1.36,3.89,0
M013,121,555,77.08,92.75,63.3,2.11,29.14,0
M014,121,663,92.08,85.0,56.2,1.79,5.23,0
M015,121,660,91.67,84.74,55.4,2.58,4.26,0
M016,121,499,69.31,87.32,51.3,1.45,27.66,0
M017,121,490,68.06,85.61,60.8,1.58,19.24,0
M018,121,485,67.36,83.4,68.4,1.45,4.52,0
M001,122,545,75.69,92.09,53.8,1.38,14.12,0
M002,122,475,65.97,94.67,60.4,2.39,14.29,0
M003,122,463,64.31,87.79,67.6,1.52,4.27,0
M004,122,625,86.81,88.27,53.6,1.82,14.46,0
M005,122,579,80.42,95.23,61.1,1.31,13.33,0
M006,122,525,72.92,92.81,53.0,2.42,4.31,0
M007,122,673,93.47,85.3,63.4,2.28,16.41,0
M008,122,528,73.33,86.13,55.4,2.72,10.15,0
M009,122,667,92.64,84.99,64.0,1.57,4.24,0
M010,122,447,62.08,85.83,67.4,2.34,6.33,0
M011,122,654,90.83,87.87,56.3,1.53,23.73,0
M012,122,568,78.89,90.99,51.9,1.82,3.65,0
M013,122,604,83.89,84.19,51.8,2.37,24.85,0
M014,122,533,74.03,84.34,60.2,1.28,5.18,0
M015,122,473,65.69,91.91,48.6,1.36,3.72,0
M016,122,719,99.86,85.89,53.4,2.42,19.62,0
M017,122,603,83.75,83.33,61.8,2.08,17.59,0
M018,122,592,82.22,94.29,62.9,2.54,4.56,0
M001,123,479,66.53,84.28,68.1,2.28,19.85,0
M002,123,644,89.44,91.19,65.5,1.19,14.44,0
M003,123,526,73.06,86.95,61.2,1.37,4.17,0
M004,123,561,77.92,94.94,54.5,2.44,14.28,0
M005,123,460,63.89,91.93,65.4,2.09,11.79,0
M006,123,439,60.97,87.92,58.4,2.1,5.56,0
M007,123,489,67.92,86.4,53.3,1.85,13.47,0
M008,123,531,73.75,94.39,55.1,2.45,10.2,0
M009,123,530,73.61,88.88,66.5,1.77,3.63,0
M010,123,670,93.06,89.49,64.7,1.92,6.75,0
M011,123,711,98.75,91.09,53.9,2.62,18.16,0
M012,123,547,75.97,86.42,58.2,1.57,4.55,0
M013,123,710,98.61,95.96,60.9,2.4,36.66,1
M014,123,486,67.5,88.04,50.2,2.35,5.75,0
M015,123,501,69.58,91.0,64.6,2.46,3.66,0
M016,123,698,96.94,93.18,51.0,1.1,23.01,0
M017,123,482,66.94,87.63,57.3,2.52,18.59,0
M018,123,439,60.97,85.9,69.9,2.64,4.68,0
M001,124,599,83.19,85.08,50.1,2.03,20.41,0
M002,124,449,62.36,90.5,50.0,2.35,14.5,0
M003,124,563,78.19,85.72,61.6,1.27,4.96,0
M004,124,668,92.78,86.07,61.8,2.12,11.41,0
M005,124,571,79.31,88.38,56.6,1.33,11.07,0
M006,124,676,93.89,88.62,62.8,1.75,4.25,0
M007,124,535,74.31,91.34,64.3,2.51,18.35,0
M008,124,669,92.92,93.86,69.1,1.39,11.0,1
M009,124,613,85.14,86.27,63.0,2.19,4.48,0
M010,124,604,83.89,89.32,50.7,2.49,7.07,0
M011,124,497,69.03,94.86,54.8,1.36,19.71,0
M012,124,530,73.61,90.07,55.8,2.46,4.51,0
M013,124,687,95.42,92.49,68.6,1.45,27.79,1
M014,124,440,61.11,88.19,59.5,1.5,5.9,0
M015,124,641,89.03,91.5,70.6,1.13,5.62,0
M016,124,501,69.58,89.6,51.8,1.75,23.08,0
M017,124,457,63.47,85.96,58.8,1.52,17.64,0
M018,124,478,66.39,88.75,54.6,1.58,4.82,0
M001,125,420,58.33,93.52,58.4,2.0,18.57,0
M002,125,523,72.64,94.08,65.5,2.79,18.24,0
M003,125,683,94.86,85.81,66.1,2.12,4.53,0
M004,125,645,89.58,94.13,50.5,1.63,16.71,0
M005,125,562,78.06,92.9,66.7,2.27,9.42,0
M006,125,669,92.92,92.51,59.3,1.59,4.94,0
M007,125,615,85.42,84.14,50.4,1.69,15.35,0
M008,125,574,79.72,91.38,59.2,1.54,9.4,0
M009,125,696,96.67,91.96,55.3,1.65,3.73,1
M010,125,677,94.03,90.06,58.6,1.39,5.25,0
M011,125,532,73.89,89.19,64.0,2.7,17.75,0
M012,125,427,59.31,86.95,60.0,1.93,5.11,0
M013,125,552,76.67,93.97,53.0,2.14,33.33,0
M014,125,657,91.25,90.85,62.6,1.15,6.41,0
M015,125,625,86.81,89.77,61.1,1.91,5.0,0
M016,125,624,86.67,92.16,66.7,2.2,22.14,0
M017,125,484,67.22,82.59,52.0,2.84,15.74,0
M018,125,514,71.39,84.54,60.2,1.77,4.85,0
M001,126,493,68.47,89.15,59.4,1.42,17.47,0
M002,126,632,87.78,94.33,64.1,2.42,16.52,0
M003,126,437,60.69,82.6,67.1,1.41,3.68,0
M004,126,464,64.44,87.83,71.5,1.56,12.31,0
M005,126,460,63.89,85.97,49.2,2.32,11.63,0
M006,126,687,95.42,89.18,58.7,2.15,3.76,0
M007,126,654,90.83,94.1,58.6,2.29,18.7,0
M008,126,522,72.5,90.5,59.0,2.7,11.21,0
M009,126,641,89.03,94.92,62.3,2.9,4.35,0
