record_id,production_order_id,machine_id,operator_id,planned_quantity,actual_quantity,rejected_quantity,runtime_minutes,downtime_minutes,machine_health,efficiency_percent
PR000365,PO000365,M014,EMP000139,337,333,4,4738,20,89.04,86.05
PR000366,PO000366,M018,EMP000104,295,290,5,5925,25,87.15,84.52
PR000367,PO000367,M002,EMP000310,412,408,4,7419,3,97.86,95.98
PR000368,PO000368,M004,EMP000414,370,366,4,5560,10,92.86,91.99
PR000369,PO000369,M009,EMP000076,399,391,8,6400,16,91.65,90.65
PR000370,PO000370,M011,EMP000169,497,493,4,5984,20,86.92,82.81
PR000371,PO000371,M013,EMP000086,306,303,3,4296,12,91.95,88.25
PR000372,PO000372,M016,EMP000261,299,293,6,5986,6,95.45,93.95
PR000373,PO000373,M002,EMP000393,449,443,6,8091,9,92.82,89.49
PR000374,PO000374,M004,EMP000040,307,305,2,4633,28,85.05,81.83
PR000375,PO000375,M009,EMP000053,366,359,7,5863,7,95.0,90.15
PR000376,PO000376,M010,EMP000400,439,435,4,5286,18,88.15,85.97
PR000377,PO000377,M013,EMP000269,324,320,4,4548,12,93.66,89.57
PR000378,PO000378,M016,EMP000079,293,287,6,5866,6,94.46,93.16
PR000379,PO000379,M002,EMP000129,375,370,5,6774,24,84.48,81.01
PR000380,PO000380,M004,EMP000130,367,362,5,5530,25,82.9,79.72
PR000381,PO000381,M008,EMP000002,401,395,6,6440,24,82.83,79.64
PR000382,PO000382,M011,EMP000140,453,449,4,5461,25,85.29,81.47
PR000383,PO000383,M014,EMP000241,303,298,5,4264,22,84.84,83.26
PR000384,PO000384,M018,EMP000303,249,245,4,4986,6,95.6,92.11
PR000385,PO000385,M001,EMP000276,436,431,5,7861,13,91.09,90.37
PR000386,PO000386,M006,EMP000087,321,317,4,4839,24,86.78,84.72
PR000387,PO000387,M008,EMP000385,389,381,8,6244,20,84.77,82.25
PR000388,PO000388,M012,EMP000054,434,429,5,5215,7,95.52,92.07
PR000389,PO000389,M014,EMP000367,310,305,5,4346,6,96.38,92.87
PR000390,PO000390,M018,EMP000085,282,278,4,5661,21,89.09,88.51
PR000391,PO000391,M001,EMP000061,417,412,5,7532,26,82.3,78.84
PR000392,PO000392,M005,EMP000354,348,343,5,5240,20,89.51,86.89
PR000393,PO000393,M009,EMP000170,405,399,6,6501,21,84.93,81.21
PR000394,PO000394,M011,EMP000395,441,437,4,5319,27,84.19,80.75
PR000395,PO000395,M015,EMP000015,302,298,4,4256,28,85.57,83.45
PR000396,PO000396,M017,EMP000398,254,249,5,5099,19,83.9,81.48
PR000397,PO000397,M001,EMP000311,400,394,6,7217,17,85.34,82.04
PR000398,PO000398,M005,EMP000379,352,348,4,5299,19,89.97,89.75
PR000399,PO000399,M009,EMP000058,419,411,8,6726,22,82.17,81.55
PR000400,PO000400,M011,EMP000147,404,401,3,4858,10,91.99,88.64
PR000401,PO000401,M015,EMP000015,314,310,4,4423,27,84.47,83.08
PR000402,PO000402,M017,EMP000315,246,241,5,4942,22,87.99,84.09
PR000403,PO000403,M002,EMP000349,361,355,6,6509,11,90.58,86.48
PR000404,PO000404,M004,EMP000215,356,353,3,5355,15,90.99,86.17
PR000405,PO000405,M007,EMP000384,345,338,7,5526,6,94.82,91.19
PR000406,PO000406,M011,EMP000169,443,438,5,5320,4,97.65,95.28
PR000407,PO000407,M015,EMP000271,322,317,5,4533,25,85.15,84.61
PR000408,PO000408,M016,EMP000327,294,289,5,5882,2,98.68,96.11
PR000409,PO000409,M003,EMP000018,428,422,6,7711,7,94.94,92.61
PR000410,PO000410,M005,EMP000130,366,361,5,5504,14,90.43,88.99
PR000411,PO000411,M007,EMP000226,415,408,7,6666,26,83.4,81.48
PR000412,PO000412,M010,EMP000218,480,476,4,5769,9,94.51,90.3
PR000413,PO000413,M014,EMP000151,301,296,5,4236,22,88.92,86.78
PR000414,PO000414,M016,EMP000222,267,262,5,5345,5,97.21,92.51
PR000415,PO000415,M003,EMP000190,450,444,6,8130,30,82.22,78.86
PR000416,PO000416,M005,EMP000165,325,322,3,4890,15,90.89,90.29
PR000417,PO000417,M008,EMP000032,339,332,7,5436,12,93.82,90.11
PR000418,PO000418,M011,EMP000140,407,404,3,4906,22,84.87,83.87
PR000419,PO000419,M014,EMP000413,319,315,4,4471,5,96.35,95.19
PR000420,PO000420,M016,EMP000344,255,250,5,5117,17,90.48,86.65
PR000421,PO000421,M002,EMP000191,432,426,6,7785,9,94.86,90.14
PR000422,PO000422,M004,EMP000375,325,321,4,4888,13,93.33,88.39
PR000423,PO000423,M007,EMP000093,414,407,7,6648,24,84.51,83.9
PR000424,PO000424,M012,EMP000080,487,482,5,5871,27,85.92,85.77
PR000425,PO000425,M014,EMP000271,290,287,3,4066,6,96.12,95.99
PR000426,PO000426,M017,EMP000102,280,274,6,5611,11,92.28,90.77
PR000427,PO000427,M002,EMP000073,392,386,6,7064,8,94.92,92.32
PR000428,PO000428,M004,EMP000006,363,359,4,5459,14,89.92,87.43
PR000429,PO000429,M009,EMP000126,405,400,5,6496,16,91.22,88.52
PR000430,PO000430,M010,EMP000014,456,453,3,5481,9,94.99,90.59
PR000431,PO000431,M015,EMP000125,310,307,3,4359,19,89.65,87.44
PR000432,PO000432,M017,EMP000263,284,277,7,5705,25,85.01,81.11
PR000433,PO000433,M002,EMP000081,398,393,5,7187,23,84.79,83.23
PR000434,PO000434,M005,EMP000251,365,361,4,5483,8,94.99,92.54
PR000435,PO000435,M007,EMP000186,384,378,6,6157,13,91.17,88.36
PR000436,PO000436,M011,EMP000175,473,469,4,5700,24,82.95,79.99
PR000437,PO000437,M015,EMP000367,309,306,3,4337,11,93.5,92.08
PR000438,PO000438,M018,EMP000150,265,259,6,5310,10,92.04,90.21
PR000439,PO000439,M001,EMP000216,432,426,6,7790,14,91.93,88.8
PR000440,PO000440,M006,EMP000340,310,307,3,4671,21,89.28,87.22
PR000441,PO000441,M009,EMP000060,399,393,6,6403,19,86.15,84.59
PR000442,PO000442,M010,EMP000410,477,473,4,5735,11,93.7,93.13
PR000443,PO000443,M013,EMP000146,296,292,4,4154,10,91.15,87.86
PR000444,PO000444,M017,EMP000184,283,278,5,5674,14,90.75,90.65
PR000445,PO000445,M003,EMP000129,447,441,6,8071,25,82.38,79.53
PR000446,PO000446,M006,EMP000252,316,313,3,4765,25,83.66,80.21
PR000447,PO000447,M009,EMP000002,341,336,5,5473,17,90.44,87.1
PR000448,PO000448,M011,EMP000297,404,400,4,4873,25,87.09,86.08
PR000449,PO000449,M014,EMP000269,288,285,3,4033,1,98.56,94.31
PR000450,PO000450,M017,EMP000266,260,254,6,5219,19,86.51,83.64
PR000451,PO000451,M002,EMP000255,382,376,6,6890,14,92.62,89.03
PR000452,PO000452,M004,EMP000106,373,369,4,5606,11,92.06,89.23
PR000453,PO000453,M009,EMP000178,400,392,8,6415,15,89.26,88.88
PR000454,PO000454,M010,EMP000189,432,428,4,5197,13,90.58,87.26
PR000455,PO000455,M014,EMP000096,315,310,5,4425,15,89.04,86.46
PR000456,PO000456,M017,EMP000327,244,239,5,4896,16,91.31,88.17
PR000457,PO000457,M001,EMP000253,446,438,8,8051,23,85.17,81.87
PR000458,PO000458,M006,EMP000105,354,349,5,5312,2,97.95,94.76
PR000459,PO000459,M008,EMP000126,347,340,7,5558,6,96.5,91.83
PR000460,PO000460,M010,EMP000207,433,430,3,5219,23,83.02,80.71
PR000461,PO000461,M013,EMP000369,330,326,4,4629,9,94.69,90.47
PR000462,PO000462,M018,EMP000184,287,280,7,5746,6,96.62,93.45
PR000463,PO000463,M002,EMP000371,434,427,7,7831,19,86.54,85.74
PR000464,PO000464,M006,EMP000039,351,348,3,5284,19,86.01,85.26
PR000465,PO000465,M009,EMP000178,365,357,8,5846,6,95.55,93.12
PR000466,PO000466,M010,EMP000051,479,475,4,5768,20,89.17,88.16
PR000467,PO000467,M014,EMP000148,300,296,4,4232,32,82.5,81.11
PR000468,PO000468,M016,EMP000366,280,274,6,5608,8,92.95,89.34
PR000469,PO000469,M003,EMP000345,398,393,5,7196,32,82.94,81.37
PR000470,PO000470,M005,EMP000152,318,314,4,4803,33,83.08,78.6
PR000471,PO000471,M007,EMP000347,340,333,7,5444,4,97.06,92.86
PR000472,PO000472,M011,EMP000050,414,411,3,4991,23,86.01,83.51
PR000473,PO000473,M013,EMP000415,340,335,5,4771,11,93.29,89.41
PR000474,PO000474,M017,EMP000112,269,263,6,5392,12,90.44,87.44
PR000475,PO000475,M003,EMP000001,449,441,8,8105,23,87.33,83.64
PR000476,PO000476,M005,EMP000019,379,376,3,5695,10,94.65,93.56
PR000477,PO000477,M009,EMP000160,355,348,7,5700,20,85.64,83.6
PR000478,PO000478,M012,EMP000395,412,409,3,4971,27,82.95,79.45
PR000479,PO000479,M015,EMP000288,324,320,4,4549,13,91.28,90.05
PR000480,PO000480,M016,EMP000193,284,279,5,5686,6,95.33,92.95
PR000481,PO000481,M001,EMP000029,416,411,5,7509,21,87.24,82.71
PR000482,PO000482,M004,EMP000375,350,345,5,5259,9,94.57,94.3
PR000483,PO000483,M009,EMP000126,383,376,7,6137,9,93.42,91.5
PR000484,PO000484,M012,EMP000120,445,441,4,5351,11,93.91,90.48
PR000485,PO000485,M014,EMP000015,307,302,5,4319,21,86.02,85.98
PR000486,PO000486,M016,EMP000181,300,293,7,6004,4,97.77,96.27
PR000487,PO000487,M001,EMP000012,444,439,5,7999,7,94.86,90.56
PR000488,PO000488,M006,EMP000300,380,375,5,5715,15,89.46,85.4
PR000489,PO000489,M007,EMP000007,378,370,8,6054,6,95.42,95.02
PR000490,PO000490,M010,EMP000100,500,496,4,6017,17,90.36,85.73
PR000491,PO000491,M013,EMP000161,280,277,3,3940,20,89.18,88.68
PR000492,PO000492,M016,EMP000155,277,271,6,5556,16,86.44,84.34
PR000493,PO000493,M001,EMP000253,402,395,7,7248,12,91.31,87.83
PR000494,PO000494,M006,EMP000396,304,300,4,4569,9,92.9,90.68
PR000495,PO000495,M007,EMP000329,352,346,6,5656,24,82.05,80.52
PR000496,PO000496,M011,EMP000135,422,418,4,5086,22,83.88,80.31
PR000497,PO000497,M015,EMP000413,275,272,3,3859,9,93.04,90.07
PR000498,PO000498,M016,EMP000156,262,258,4,5243,3,97.97,93.6
PR000499,PO000499,M003,EMP000338,401,396,5,7243,25,84.95,83.31
PR000500,PO000500,M004,EMP000152,337,334,3,5079,24,83.43,81.46
PR000501,PO000501,M007,EMP000262,389,384,5,6230,6,96.19,96.09
PR000502,PO000502,M010,EMP000174,495,491,4,5954,14,91.5,90.36
PR000503,PO000503,M014,EMP000234,329,326,3,4620,14,89.86,85.6
PR000504,PO000504,M018,EMP000280,277,270,7,5552,12,92.51,91.76
PR000505,PO000505,M002,EMP000349,424,418,6,7656,24,84.89,84.82
PR000506,PO000506,M006,EMP000289,309,306,3,4644,9,95.15,91.01
PR000507,PO000507,M009,EMP000384,402,394,8,6451,19,85.82,81.09
PR000508,PO000508,M011,EMP000055,482,478,4,5808,24,86.53,84.62
PR000509,PO000509,M013,EMP000296,333,328,5,4681,19,85.51,81.39
PR000510,PO000510,M017,EMP000136,283,279,4,5679,19,85.22,81.26
PR000511,PO000511,M002,EMP000293,416,411,5,7489,1,98.59,96.34
PR000512,PO000512,M004,EMP000331,345,341,4,5188,13,91.91,91.48
PR000513,PO000513,M007,EMP000002,344,339,5,5510,6,96.81,94.82
PR000514,PO000514,M011,EMP000133,479,475,4,5765,17,88.52,85.53
PR000515,PO000515,M015,EMP000234,313,309,4,4392,10,91.47,86.81
PR000516,PO000516,M018,EMP000346,273,267,6,5480,20,88.02,84.67
PR000517,PO000517,M002,EMP000001,424,418,6,7642,10,94.06,94.03
PR000518,PO000518,M005,EMP000396,316,313,3,4762,22,88.48,85.12
PR000519,PO000519,M007,EMP000383,419,413,6,6707,3,97.17,96.27
PR000520,PO000520,M012,EMP000359,492,488,4,5918,14,90.38,88.04
PR000521,PO000521,M014,EMP000134,329,325,4,4615,9,94.07,92.77
PR000522,PO000522,M017,EMP000327,261,257,4,5222,2,98.63,93.76
PR000523,PO000523,M002,EMP000188,413,408,5,7452,18,88.13,83.62
PR000524,PO000524,M004,EMP000119,344,340,4,5167,7,96.1,93.52
PR000525,PO000525,M008,EMP000258,368,360,8,5915,27,84.8,82.34
PR000526,PO000526,M010,EMP000242,487,483,4,5860,16,91.45,88.27
PR000527,PO000527,M013,EMP000247,283,279,4,3980,18,85.21,84.29
PR000528,PO000528,M016,EMP000366,267,261,6,5363,23,84.78,84.2
PR000529,PO000529,M003,EMP000389,407,401,6,7340,14,90.41,85.47
PR000530,PO000530,M006,EMP000183,311,308,3,4678,13,89.78,86.18
PR000531,PO000531,M009,EMP000312,407,399,8,6528,16,87.94,86.52
PR000532,PO000532,M012,EMP000268,415,411,4,4989,9,94.75,91.93
PR000533,PO000533,M014,EMP000296,326,321,5,4592,28,85.61,85.59
PR000534,PO000534,M016,EMP000320,258,253,5,5188,28,85.07,83.84
PR000535,PO000535,M002,EMP000062,405,398,7,7313,23,83.6,82.18
PR000536,PO000536,M006,EMP000335,368,365,3,5543,23,84.07,79.42
PR000537,PO000537,M007,EMP000226,420,412,8,6735,15,87.5,85.2
PR000538,PO000538,M010,EMP000359,413,409,4,4972,16,90.16,88.81
PR000539,PO000539,M015,EMP000254,319,315,4,4481,15,87.6,84.49
PR000540,PO000540,M017,EMP000150,276,270,6,5523,3,98.11,93.58
PR000541,PO000541,M002,EMP000098,431,425,6,7787,29,84.2,80.19
PR000542,PO000542,M006,EMP000196,375,371,4,5632,7,95.57,92.83
PR000543,PO000543,M009,EMP000036,420,412,8,6743,23,83.57,82.37
PR000544,PO000544,M011,EMP000359,403,399,4,4849,13,88.78,87.74
PR000545,PO000545,M014,EMP000138,311,308,3,4373,19,88.84,84.07
PR000546,PO000546,M017,EMP000027,240,234,6,4823,23,87.08,83.4
PR000547,PO000547,M001,EMP000361,432,427,5,7780,4,97.36,95.56
PR000548,PO000548,M005,EMP000354,312,309,3,4695,15,88.25,86.02
PR000549,PO000549,M009,EMP000391,417,410,7,6694,22,86.56,86.11
PR000550,PO000550,M010,EMP000246,495,491,4,5955,15,88.26,85.11
PR000551,PO000551,M013,EMP000138,320,315,5,4498,18,90.73,87.35
PR000552,PO000552,M017,EMP000115,261,256,5,5231,11,94.13,91.49
PR000553,PO000553,M002,EMP000253,399,392,7,7208,26,83.43,83.03
PR000554,PO000554,M005,EMP000039,376,372,4,5665,25,87.11,83.69
PR000555,PO000555,M007,EMP000382,342,336,6,5493,21,86.23,83.39
PR000556,PO000556,M010,EMP000080,496,492,4,5955,3,97.59,95.04
PR000557,PO000557,M013,EMP000287,282,279,3,3965,17,89.9,85.84
PR000558,PO000558,M017,EMP000222,282,276,6,5654,14,91.95,91.87
PR000559,PO000559,M002,EMP000179,437,432,5,7884,18,89.87,85.66
PR000560,PO000560,M005,EMP000196,338,334,4,5089,19,89.08,87.51
PR000561,PO000561,M009,EMP000168,350,344,6,5607,7,94.88,90.84
PR000562,PO000562,M011,EMP000238,414,411,3,4972,4,97.61,96.55
PR000563,PO000563,M015,EMP000224,334,330,4,4677,1,98.7,95.33
PR000564,PO000564,M018,EMP000197,259,254,5,5206,26,82.3,82.23
PR000565,PO000565,M001,EMP000323,410,403,7,7395,15,89.82,86.53
PR000566,PO000566,M004,EMP000260,304,300,4,4568,8,94.34,90.27
PR000567,PO000567,M008,EMP000374,363,356,7,5820,12,93.74,90.36
PR000568,PO000568,M011,EMP000159,437,432,5,5265,21,83.49,82.54
PR000569,PO000569,M013,EMP000005,272,269,3,3816,8,93.83,93.7
PR000570,PO000570,M018,EMP000200,267,261,6,5361,21,84.47,80.26
PR000571,PO000571,M001,EMP000211,408,403,5,7355,11,91.16,87.31
PR000572,PO000572,M006,EMP000302,333,329,4,5009,14,89.17,84.66
PR000573,PO000573,M009,EMP000094,381,374,7,6112,16,89.57,89.47
PR000574,PO000574,M011,EMP000359,494,490,4,5947,19,86.12,81.97
PR000575,PO000575,M014,EMP000034,274,271,3,3851,15,87.68,83.44
PR000576,PO000576,M016,EMP000182,295,289,6,5917,17,89.07,86.18
PR000577,PO000577,M003,EMP000345,414,408,6,7453,1,98.98,96.98
PR000578,PO000578,M005,EMP000335,357,352,5,5366,11,94.32,89.79
PR000579,PO000579,M007,EMP000329,387,380,7,6209,17,85.94,85.84
PR000580,PO000580,M011,EMP000341,421,416,5,5064,12,91.41,88.17
PR000581,PO000581,M014,EMP000404,318,314,4,4479,27,83.99,80.76
PR000582,PO000582,M017,EMP000074,294,288,6,5894,14,89.42,85.79
PR000583,PO000583,M001,EMP000190,415,408,7,7486,16,89.45,86.51
PR000584,PO000584,M005,EMP000284,371,367,4,5569,4,97.67,94.09
PR000585,PO000585,M008,EMP000022,375,369,6,6005,5,97.01,95.06
PR000586,PO000586,M011,EMP000299,428,424,4,5139,3,98.0,96.2
PR000587,PO000587,M013,EMP000005,281,277,4,3935,1,98.51,97.47
PR000588,PO000588,M018,EMP000150,247,243,4,4966,26,83.47,82.6
PR000589,PO000589,M003,EMP000167,384,378,6,6929,17,90.37,85.65
PR000590,PO000590,M005,EMP000375,322,319,3,4853,23,85.99,80.99
PR000591,PO000591,M007,EMP000044,354,347,7,5687,23,86.43,85.56
PR000592,PO000592,M010,EMP000237,422,419,3,5081,17,90.56,88.87
PR000593,PO000593,M013,EMP000405,281,276,5,3957,23,85.85,83.42
PR000594,PO000594,M018,EMP000085,271,266,5,5428,8,95.34,91.49
PR000595,PO000595,M003,EMP000128,434,427,7,7817,5,97.24,92.87
PR000596,PO000596,M006,EMP000340,376,371,5,5660,20,83.77,79.04
PR000597,PO000597,M009,EMP000347,415,407,8,6642,2,98.37,93.5
PR000598,PO000598,M012,EMP000409,440,436,4,5294,14,92.36,91.85
PR000599,PO000599,M014,EMP000271,280,277,3,3932,12,90.62,90.03
PR000600,PO000600,M017,EMP000074,280,274,6,5621,21,88.15,84.61
PR000601,PO000601,M002,EMP000255,435,429,6,7848,18,90.47,89.7
PR000602,PO000602,M005,EMP000223,368,363,5,5525,5,95.93,94.92
PR000603,PO000603,M008,EMP000267,395,388,7,6325,5,95.08,90.91
PR000604,PO000604,M010,EMP000341,407,403,4,4901,17,86.87,85.54
PR000605,PO000605,M014,EMP000024,281,277,4,3952,18,89.06,87.83
PR000606,PO000606,M016,EMP000172,279,274,5,5596,16,91.0,90.31
PR000607,PO000607,M003,EMP000180,409,403,6,7366,4,97.61,92.85
PR000608,PO000608,M006,EMP000087,374,369,5,5622,12,93.6,91.39
PR000609,PO000609,M007,EMP000038,393,387,6,6297,9,94.2,93.85
PR000610,PO000610,M012,EMP000207,424,420,4,5108,20,88.83,86.66
PR000611,PO000611,M015,EMP000287,332,327,5,4681,33,82.63,81.88
PR000612,PO000612,M016,EMP000214,243,237,6,4862,2,98.62,94.62
PR000613,PO000613,M001,EMP000082,403,397,6,7256,2,98.54,94.11
PR000614,PO000614,M004,EMP000370,368,364,4,5525,5,96.85,95.28
PR000615,PO000615,M007,EMP000244,341,336,5,5463,7,96.06,93.01
PR000616,PO000616,M012,EMP000325,456,451,5,5491,19,88.87,84.43
PR000617,PO000617,M015,EMP000288,338,333,5,4743,11,92.51,90.78
PR000618,PO000618,M016,EMP000115,263,259,4,5272,12,93.03,88.63
PR000619,PO000619,M002,EMP000357,409,402,7,7375,13,91.14,87.55
PR000620,PO000620,M005,EMP000056,380,376,4,5714,14,90.85,89.78
PR000621,PO000621,M009,EMP000160,418,412,6,6706,18,87.31,84.13
PR000622,PO000622,M010,EMP000173,442,437,5,5308,4,97.14,95.85
PR000623,PO000623,M015,EMP000378,321,316,5,4513,19,87.17,84.64
PR000624,PO000624,M017,EMP000346,286,282,4,5725,5,96.31,93.77
PR000625,PO000625,M003,EMP000062,379,373,6,6832,10,94.86,92.62
PR000626,PO000626,M004,EMP000414,378,373,5,5696,26,82.09,80.91
PR000627,PO000627,M007,EMP000053,380,373,7,6094,14,91.89,87.2
PR000628,PO000628,M012,EMP000097,489,484,5,5873,5,96.36,94.86
PR000629,PO000629,M014,EMP000367,288,285,3,4038,6,95.86,95.16
PR000630,PO000630,M018,EMP000303,300,295,5,6007,7,94.54,91.96
PR000631,PO000631,M002,EMP000253,431,425,6,7765,7,95.24,94.51
PR000632,PO000632,M006,EMP000232,346,343,3,5204,14,89.0,86.88
PR000633,PO000633,M009,EMP000201,403,396,7,6466,18,85.65,82.27
PR000634,PO000634,M012,EMP000143,485,480,5,5835,15,91.5,87.14
PR000635,PO000635,M015,EMP000224,318,313,5,4466,14,92.82,89.37
PR000636,PO000636,M017,EMP000240,259,254,5,5188,8,94.44,93.63
PR000637,PO000637,M001,EMP000264,403,397,6,7269,15,90.24,85.4
PR000638,PO000638,M004,EMP000302,332,329,3,4995,15,91.0,88.72
PR000639,PO000639,M007,EMP000002,345,340,5,5545,25,84.67,80.06
PR000640,PO000640,M010,EMP000406,464,460,4,5572,4,96.49,94.64
PR000641,PO000641,M015,EMP000367,339,335,4,4757,11,90.89,89.37
PR000642,PO000642,M018,EMP000193,261,255,6,5235,15,87.0,86.29
PR000643,PO000643,M001,EMP000310,436,430,6,7869,21,89.17,87.64
PR000644,PO000644,M004,EMP000206,324,320,4,4886,26,85.11,85.1
PR000645,PO000645,M009,EMP000416,415,408,7,6660,20,83.15,80.74
PR000646,PO000646,M012,EMP000411,456,451,5,5487,15,89.69,87.8
PR000647,PO000647,M014,EMP000367,318,314,4,4457,5,96.17,95.48
PR000648,PO000648,M018,EMP000103,255,250,5,5108,8,94.95,94.21
PR000649,PO000649,M003,EMP000062,396,391,5,7156,28,83.52,80.4
PR000650,PO000650,M005,EMP000165,333,329,4,4998,3,97.3,97.07
PR000651,PO000651,M007,EMP000094,375,370,5,6014,14,89.53,89.09
PR000652,PO000652,M010,EMP000259,447,443,4,5393,29,82.42,78.56
PR000653,PO000653,M015,EMP000199,328,323,5,4604,12,92.97,92.54
PR000654,PO000654,M017,EMP000231,289,283,6,5795,15,91.21,86.42
PR000655,PO000655,M003,EMP000078,427,420,7,7694,8,94.76,94.67
PR000656,PO000656,M004,EMP000116,329,326,3,4952,17,91.04,89.67
PR000657,PO000657,M007,EMP000076,368,363,5,5895,7,96.1,93.2
PR000658,PO000658,M012,EMP000278,461,457,4,5545,13,91.07,88.13
PR000659,PO000659,M015,EMP000015,285,282,3,3993,3,97.88,96.98
PR000660,PO000660,M018,EMP000099,294,287,7,5893,13,90.97,90.51
PR000661,PO000661,M002,EMP000349,370,364,6,6672,12,91.21,90.3
PR000662,PO000662,M005,EMP000122,361,358,3,5445,30,84.62,81.23
PR000663,PO000663,M007,EMP000312,391,385,6,6258,2,98.34,94.77
PR000664,PO000664,M010,EMP000290,457,453,4,5505,21,83.68,79.21
PR000665,PO000665,M013,EMP000287,325,321,4,4553,3,98.01,97.75
PR000666,PO000666,M017,EMP000222,272,267,5,5450,10,92.15,89.61
PR000667,PO000667,M001,EMP000016,409,403,6,7364,2,98.14,96.55
PR000668,PO000668,M005,EMP000130,332,327,5,5000,20,83.11,79.94
PR000669,PO000669,M008,EMP000070,348,343,5,5597,29,82.32,79.39
PR000670,PO000670,M012,EMP000173,442,438,4,5312,8,94.97,94.34
PR000671,PO000671,M013,EMP000367,276,272,4,3883,19,89.58,87.08
PR000672,PO000672,M017,EMP000280,284,279,5,5705,25,84.42,83.58
PR000673,PO000673,M003,EMP000042,420,415,5,7563,3,98.19,95.41
PR000674,PO000674,M006,EMP000045,304,300,4,4568,8,95.81,92.71
PR000675,PO000675,M007,EMP000386,368,362,6,5906,18,84.85,80.24
PR000676,PO000676,M010,EMP000145,470,465,5,5663,23,86.27,81.27
PR000677,PO000677,M015,EMP000314,339,335,4,4772,26,85.62,84.21
PR000678,PO000678,M016,EMP000172,289,283,6,5791,11,91.08,90.63
PR000679,PO000679,M001,EMP000253,398,391,7,7170,6,96.12,91.13
PR000680,PO000680,M004,EMP000304,334,330,4,5033,23,85.58,81.57
PR000681,PO000681,M009,EMP000131,415,407,8,6643,3,98.07,93.17
PR000682,PO000682,M010,EMP000171,414,411,3,4991,23,86.64,85.03
PR000683,PO000683,M015,EMP000367,340,336,4,4762,2,98.3,93.73
PR000684,PO000684,M018,EMP000204,272,268,4,5443,3,97.68,97.66
PR000685,PO000685,M001,EMP000360,378,373,5,6828,24,84.95,81.47
PR000686,PO000686,M005,EMP000183,304,300,4,4574,14,88.68,84.3
PR000687,PO000687,M008,EMP000094,366,360,6,5872,16,91.16,87.08
PR000688,PO000688,M011,EMP000050,423,419,4,5107,31,84.1,82.22
PR000689,PO000689,M015,EMP000017,282,277,5,3969,21,88.57,84.51
PR000690,PO000690,M017,EMP000221,244,241,3,4903,23,84.12,83.16
PR000691,PO000691,M003,EMP000030,424,417,7,7641,9,94.63,91.23
PR000692,PO000692,M006,EMP000248,306,302,4,4617,27,85.26,82.13
PR000693,PO000693,M008,EMP000351,341,336,5,5484,28,85.76,80.92
PR000694,PO000694,M011,EMP000135,447,444,3,5380,16,90.38,87.35
PR000695,PO000695,M015,EMP000269,274,271,3,3838,2,98.73,98.18
PR000696,PO000696,M016,EMP000172,262,256,6,5252,12,90.51,89.54
PR000697,PO000697,M003,EMP000333,444,437,7,8003,11,93.43,92.55
PR000698,PO000698,M004,EMP000332,378,373,5,5676,6,94.68,90.01
PR000699,PO000699,M008,EMP000402,353,346,7,5653,5,96.98,95.61
PR000700,PO000700,M011,EMP000337,469,464,5,5662,34,82.39,79.0
PR000701,PO000701,M015,EMP000075,294,290,4,4128,12,93.57,93.56
PR000702,PO000702,M017,EMP000172,284,279,5,5691,11,93.44,89.17
PR000703,PO000703,M003,EMP000012,383,377,6,6899,5,96.35,95.74
PR000704,PO000704,M004,EMP000300,362,357,5,5445,15,90.42,90.2
PR000705,PO000705,M008,EMP000084,361,355,6,5809,33,82.8,80.14
PR000706,PO000706,M010,EMP000013,405,401,4,4876,16,88.66,84.26
PR000707,PO000707,M014,EMP000355,337,331,6,4719,1,98.83,95.38
PR000708,PO000708,M018,EMP000195,270,266,4,5403,3,97.59,95.94
PR000709,PO000709,M001,EMP000111,442,437,5,7965,9,92.63,90.47
PR000710,PO000710,M005,EMP000183,349,346,3,5243,8,95.55,91.35
PR000711,PO000711,M009,EMP000385,378,370,8,6067,19,90.05,85.89
PR000712,PO000712,M010,EMP000090,447,443,4,5376,12,90.83,90.47
PR000713,PO000713,M014,EMP000086,328,325,3,4605,13,89.46,87.23
PR000714,PO000714,M017,EMP000194,251,245,6,5022,2,98.57,96.68
PR000715,PO000715,M003,EMP000358,423,416,7,7625,11,93.79,93.48
PR000716,PO000716,M006,EMP000397,338,335,3,5098,28,82.93,80.77
PR000717,PO000717,M009,EMP000084,390,383,7,6261,21,82.95,78.7
PR000718,PO000718,M011,EMP000297,477,472,5,5735,11,92.49,88.17
PR000719,PO000719,M015,EMP000220,309,305,4,4337,11,92.61,90.29
PR000720,PO000720,M016,EMP000346,245,240,5,4909,9,92.54,89.29
PR000721,PO000721,M003,EMP000180,397,392,5,7174,28,82.44,79.5
PR000722,PO000722,M005,EMP000375,358,353,5,5401,31,82.21,79.25
PR000723,PO000723,M009,EMP000131,392,386,6,6275,3,97.37,94.83
PR000724,PO000724,M011,EMP000173,405,402,3,4876,16,90.18,89.25
PR000725,PO000725,M014,EMP000381,327,323,4,4600,22,82.75,79.83
PR000726,PO000726,M018,EMP000221,290,284,6,5810,10,93.08,90.16
PR000727,PO000727,M001,EMP000067,445,439,6,8034,24,84.48,81.46
PR000728,PO000728,M005,EMP000248,350,347,3,5252,2,98.49,95.2
PR000729,PO000729,M009,EMP000209,356,351,5,5721,25,86.04,83.24
PR000730,PO000730,M010,EMP000063,477,473,4,5748,24,87.84,84.64
